"randomise_trials","display","Sound","word","part_id","stress","file_type","status"
1,"Instructions1",NA,NA,NA,NA,NA,NA
2,"Practice","familia.wav","familia",NA,NA,NA,NA
2,"Practice","belisima.wav","belisima",NA,NA,NA,NA
3,"Instructions2",NA,NA,NA,NA,NA,NA
4,"Main","10590751_abaco_primary.wav","abaco","10590751","primary","wav","L1"
4,"Main","10590751_asino_primary.wav","asino","10590751","primary","wav","L1"
4,"Main","10590751_celebre_primary.wav","celebre","10590751","primary","wav","L1"
4,"Main","10590751_eremo_primary.wav","eremo","10590751","primary","wav","L1"
4,"Main","10590751_impero_secondary.wav","impero","10590751","secondary","wav","L1"
4,"Main","10590751_missile_primary.wav","missile","10590751","primary","wav","L1"
4,"Main","10590751_remoto_secondary.wav","remoto","10590751","secondary","wav","L1"
4,"Main","10593187_abaco_primary.wav","abaco","10593187","primary","wav","L1"
4,"Main","10593187_asino_primary.wav","asino","10593187","primary","wav","L1"
4,"Main","10593187_celebre_primary.wav","celebre","10593187","primary","wav","L1"
4,"Main","10593187_estero_primary.wav","estero","10593187","primary","wav","L1"
4,"Main","10593187_impeto_primary.wav","impeto","10593187","primary","wav","L1"
4,"Main","10593187_missile_primary.wav","missile","10593187","primary","wav","L1"
4,"Main","10593187_remoto_secondary.wav","remoto","10593187","secondary","wav","L1"
4,"Main","10596140_acacia_secondary.wav","acacia","10596140","secondary","wav","L1"
4,"Main","10596140_attiguo_secondary.wav","attiguo","10596140","secondary","wav","L1"
4,"Main","10596140_codino_secondary.wav","codino","10596140","secondary","wav","L1"
4,"Main","10596140_fedele_secondary.wav","fedele","10596140","secondary","wav","L1"
4,"Main","10596140_lattina_secondary.wav","lattina","10596140","secondary","wav","L1"
4,"Main","10596140_monile_secondary.wav","monile","10596140","secondary","wav","L1"
4,"Main","10596140_saliva_secondary.wav","saliva","10596140","secondary","wav","L1"
4,"Main","10611153_acacia_secondary.wav","acacia","10611153","secondary","wav","L1"
4,"Main","10611153_attiguo_secondary.wav","attiguo","10611153","secondary","wav","L1"
4,"Main","10611153_codice_primary.wav","codice","10611153","primary","wav","L1"
4,"Main","10611153_esteta_secondary.wav","esteta","10611153","secondary","wav","L1"
4,"Main","10611153_lattice_primary.wav","lattice","10611153","primary","wav","L1"
4,"Main","10611153_missiva_secondary.wav","missiva","10611153","secondary","wav","L1"
4,"Main","10611153_salice_primary.wav","salice","10611153","primary","wav","L1"
4,"Main","10615085_abate_secondary.wav","abate","10615085","secondary","wav","L1"
4,"Main","10615085_attico_primary.wav","attico","10615085","primary","wav","L1"
4,"Main","10615085_celeste_secondary.wav","celeste","10615085","secondary","wav","L1"
4,"Main","10615085_estero_primary.wav","estero","10615085","primary","wav","L1"
4,"Main","10615085_impeto_primary.wav","impeto","10615085","primary","wav","L1"
4,"Main","10615085_missile_primary.wav","missile","10615085","primary","wav","L1"
4,"Main","10615085_remoto_secondary.wav","remoto","10615085","secondary","wav","L1"
4,"Main","9353724_abaco_primary.wav","abaco","9353724","primary","wav","L2"
4,"Main","9353724_asino_primary.wav","asino","9353724","primary","wav","L2"
4,"Main","9353724_celeste_secondary.wav","celeste","9353724","secondary","wav","L2"
4,"Main","9353724_esteta_secondary.wav","esteta","9353724","secondary","wav","L2"
4,"Main","9353724_lattice_primary.wav","lattice","9353724","primary","wav","L2"
4,"Main","9353724_monito_primary.wav","monito","9353724","primary","wav","L2"
4,"Main","9353724_senape_primary.wav","senape","9353724","primary","wav","L2"
4,"Main","9421803_alluce_primary.wav","alluce","9421803","primary","wav","L2"
4,"Main","9421803_candito_secondary.wav","candito","9421803","secondary","wav","L2"
4,"Main","9421803_estero_primary.wav","estero","9421803","primary","wav","L2"
4,"Main","9421803_lattice_primary.wav","lattice","9421803","primary","wav","L2"
4,"Main","9421803_monile_secondary.wav","monile","9421803","secondary","wav","L2"
4,"Main","9421803_saliva_secondary.wav","saliva","9421803","secondary","wav","L2"
4,"Main","9443955_acaro_primary.wav","acaro","9443955","primary","wav","L2"
4,"Main","9443955_canale_secondary.wav","canale","9443955","secondary","wav","L2"
4,"Main","9443955_comico_primary.wav","comico","9443955","primary","wav","L2"
4,"Main","9443955_fragola_primary.wav","fragola","9443955","primary","wav","L2"
4,"Main","9443955_mastino_secondary.wav","mastino","9443955","secondary","wav","L2"
4,"Main","9443955_salice_primary.wav","salice","9443955","primary","wav","L2"
4,"Main","9449166_acaro_primary.wav","acaro","9449166","primary","wav","L2"
4,"Main","9449166_calamo_primary.wav","calamo","9449166","primary","wav","L2"
4,"Main","9449166_codino_secondary.wav","codino","9449166","secondary","wav","L2"
4,"Main","9449166_fedele_secondary.wav","fedele","9449166","secondary","wav","L2"
4,"Main","9449166_lattina_secondary.wav","lattina","9449166","secondary","wav","L2"
4,"Main","9449166_monile_secondary.wav","monile","9449166","secondary","wav","L2"
4,"Main","9449166_saliva_secondary.wav","saliva","9449166","secondary","wav","L2"
4,"Main","9450505_acacia_secondary.wav","acacia","9450505","secondary","wav","L2"
4,"Main","9450505_attiguo_secondary.wav","attiguo","9450505","secondary","wav","L2"
4,"Main","9450505_codice_primary.wav","codice","9450505","primary","wav","L2"
4,"Main","9450505_esteta_secondary.wav","esteta","9450505","secondary","wav","L2"
4,"Main","9450505_lattina_secondary.wav","lattina","9450505","secondary","wav","L2"
4,"Main","9450505_monile_secondary.wav","monile","9450505","secondary","wav","L2"
4,"Main","9450505_saliva_secondary.wav","saliva","9450505","secondary","wav","L2"
4,"Main","9450998_acacia_secondary.wav","acacia","9450998","secondary","wav","L2"
4,"Main","9450998_attiguo_secondary.wav","attiguo","9450998","secondary","wav","L2"
4,"Main","9450998_codice_primary.wav","codice","9450998","primary","wav","L2"
4,"Main","9450998_esteta_secondary.wav","esteta","9450998","secondary","wav","L2"
4,"Main","9450998_lattice_primary.wav","lattice","9450998","primary","wav","L2"
4,"Main","9450998_missiva_secondary.wav","missiva","9450998","secondary","wav","L2"
4,"Main","9450998_salice_primary.wav","salice","9450998","primary","wav","L2"
4,"Main","9451042_abate_secondary.wav","abate","9451042","secondary","wav","L2"
4,"Main","9451042_calamo_primary.wav","calamo","9451042","primary","wav","L2"
4,"Main","9451042_collega_secondary.wav","collega","9451042","secondary","wav","L2"
4,"Main","9451042_forbice_primary.wav","forbice","9451042","primary","wav","L2"
4,"Main","9451042_macaco_secondary.wav","macaco","9451042","secondary","wav","L2"
4,"Main","9451042_protesta_secondary.wav","protesta","9451042","secondary","wav","L2"
4,"Main","9451042_zigomo_primary.wav","zigomo","9451042","primary","wav","L2"
4,"Main","9451089_calamo_primary.wav","calamo","9451089","primary","wav","L2"
4,"Main","9451089_collera_primary.wav","collera","9451089","primary","wav","L2"
4,"Main","9451089_fragola_primary.wav","fragola","9451089","primary","wav","L2"
4,"Main","9451089_missiva_secondary.wav","missiva","9451089","secondary","wav","L2"
4,"Main","9451089_salice_primary.wav","salice","9451089","primary","wav","L2"
4,"Main","9451120_acaro_primary.wav","acaro","9451120","primary","wav","L2"
4,"Main","9451120_calamo_primary.wav","calamo","9451120","primary","wav","L2"
4,"Main","9451120_collega_secondary.wav","collega","9451120","secondary","wav","L2"
4,"Main","9451120_federa_primary.wav","federa","9451120","primary","wav","L2"
4,"Main","9451120_locusta_secondary.wav","locusta","9451120","secondary","wav","L2"
4,"Main","9451120_panico_primary.wav","panico","9451120","primary","wav","L2"
